NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,BOLSA,FECHA
40,3868,25,31,35,36,40,42,5,124200000,01/03/2024
40,3867,2,14,26,34,47,51,22,120200000,28/02/2024
40,3866,1,3,4,40,52,56,5,117200000,25/02/2024
40,3865,1,9,14,16,24,55,47,113600000,23/02/2024
40,3864,15,21,26,31,43,46,7,109700000,21/02/2024
40,3863,9,24,29,34,43,46,38,106800000,18/02/2024
40,3862,1,20,30,34,39,49,27,102700000,16/02/2024
40,3861,10,15,21,29,30,44,40,99000000,14/02/2024
40,3860,2,6,30,39,41,49,10,95700000,11/02/2024
40,3859,2,3,12,15,37,52,34,92200000,09/02/2024
40,3858,11,22,29,31,43,48,14,88700000,07/02/2024
40,3857,1,12,15,16,28,55,38,86200000,04/02/2024
40,3856,2,4,13,26,31,54,10,82300000,02/02/2024
40,3855,4,7,10,11,21,46,39,78800000,31/01/2024
40,3854,13,28,32,34,39,48,15,75700000,28/01/2024
40,3853,30,31,41,43,49,50,17,71100000,26/01/2024
40,3852,6,7,18,27,31,43,52,67700000,24/01/2024
40,3851,5,9,29,33,50,52,44,64900000,21/01/2024
40,3850,3,19,29,30,35,39,26,60600000,19/01/2024
40,3849,7,13,16,18,23,32,34,57500000,17/01/2024
40,3848,3,5,25,27,36,38,18,55000000,14/01/2024
40,3847,5,16,25,27,39,44,22,51200000,12/01/2024
40,3846,12,15,38,50,51,53,18,46600000,10/01/2024
40,3845,4,19,23,25,26,28,14,43900000,07/01/2024
40,3844,1,5,11,32,39,43,20,40100000,05/01/2024
40,3843,3,6,18,27,29,52,44,36500000,03/01/2024
40,3842,1,16,17,19,28,41,21,32700000,31/12/2023
40,3841,18,21,25,28,36,41,22,30700000,29/12/2023
40,3840,18,23,35,38,42,55,1,30600000,27/12/2023
40,3839,5,29,32,38,48,54,47,30500000,24/12/2023
40,3838,7,26,29,36,39,41,11,30400000,22/12/2023
40,3837,18,22,28,32,41,44,51,30300000,20/12/2023
40,3836,14,27,36,46,50,54,3,30200000,17/12/2023
40,3835,8,18,20,21,23,48,40,30100000,15/12/2023
40,3834,5,6,9,25,50,55,43,30000000,13/12/2023
40,3833,2,27,31,42,43,44,4,74900000,10/12/2023
40,3832,7,10,35,40,43,55,49,71000000,08/12/2023
40,3831,10,18,19,23,43,53,27,67000000,06/12/2023
40,3830,6,15,16,24,28,43,26,64300000,03/12/2023
40,3829,1,4,5,31,51,53,29,60300000,01/12/2023
40,3828,1,5,10,12,18,41,34,56900000,29/11/2023
40,3827,9,24,44,47,49,54,2,54000000,26/11/2023
40,3826,1,15,31,35,38,53,44,50200000,24/11/2023
40,3825,35,36,39,41,45,47,52,46200000,22/11/2023
40,3824,13,23,24,28,34,43,1,43900000,19/11/2023
40,3823,10,19,21,33,40,48,13,40000000,17/11/2023
40,3822,4,8,31,46,50,54,21,35900000,15/11/2023
40,3821,15,16,17,25,36,52,37,33300000,12/11/2023
40,3820,8,12,24,31,42,48,37,30800000,10/11/2023
40,3819,9,11,20,30,36,55,10,30700000,08/11/2023
40,3818,2,6,8,29,38,50,1,30600000,05/11/2023
40,3817,20,21,33,35,39,50,28,30500000,03/11/2023
40,3816,3,4,15,24,42,56,17,30400000,01/11/2023
40,3815,7,13,18,34,40,50,46,30300000,29/10/2023
40,3814,4,7,24,27,31,42,15,30200000,27/10/2023
40,3813,1,13,28,34,43,49,14,30100000,25/10/2023
40,3812,12,17,18,22,41,53,45,30000000,22/10/2023
40,3811,2,7,31,42,44,49,19,286700000,20/10/2023
40,3810,1,15,20,25,52,56,49,282300000,18/10/2023
40,3809,6,7,27,43,52,53,35,279300000,15/10/2023
40,3808,8,12,29,30,48,51,10,275100000,13/10/2023
40,3807,1,3,28,29,40,53,24,271000000,11/10/2023
40,3806,10,35,36,37,41,42,39,267800000,08/10/2023
40,3805,16,19,23,26,40,47,14,263700000,06/10/2023
40,3804,2,4,24,31,34,56,35,259400000,04/10/2023
40,3803,5,8,16,29,36,56,46,256600000,01/10/2023
40,3802,7,12,20,28,46,47,13,252800000,29/09/2023
40,3801,23,28,38,42,44,47,50,248800000,27/09/2023
40,3800,1,19,38,41,51,55,49,245300000,24/09/2023
40,3799,3,17,18,19,40,49,26,241700000,22/09/2023
40,3798,1,29,38,45,50,52,31,237400000,20/09/2023
40,3797,5,28,30,37,50,56,44,234200000,17/09/2023
40,3796,7,20,21,40,48,54,31,230100000,15/09/2023
40,3795,9,10,11,26,44,54,36,226700000,13/09/2023
40,3794,2,32,33,37,39,55,25,223700000,10/09/2023
40,3793,25,27,36,39,43,46,12,219900000,08/09/2023
40,3792,7,10,15,28,47,54,17,216300000,06/09/2023
40,3791,13,25,31,42,50,54,40,213200000,03/09/2023
40,3790,12,16,24,27,35,52,6,209500000,01/09/2023
40,3789,5,6,16,18,35,39,51,205800000,30/08/2023
40,3788,17,20,23,36,45,46,19,203200000,27/08/2023
40,3787,3,5,10,14,16,17,52,200000000,25/08/2023
40,3786,20,31,36,39,42,51,56,195700000,23/08/2023
40,3785,9,14,15,17,20,50,10,193300000,20/08/2023
40,3784,5,9,28,29,37,49,10,189600000,18/08/2023
40,3783,13,23,28,29,30,36,31,185900000,16/08/2023
40,3782,2,6,15,23,29,51,28,183400000,13/08/2023
40,3781,10,26,36,41,45,56,47,179400000,11/08/2023
40,3780,5,8,17,19,48,56,27,176200000,09/08/2023
40,3779,7,26,28,36,38,54,41,173600000,06/08/2023
40,3778,31,35,36,42,45,52,6,169500000,04/08/2023
40,3777,3,11,12,14,54,56,13,166000000,02/08/2023
40,3776,8,14,25,29,37,52,54,163600000,30/07/2023
40,3775,3,14,42,45,54,56,39,159900000,28/07/2023
40,3774,3,20,31,42,48,50,26,155800000,26/07/2023
40,3773,1,5,7,17,37,50,40,153900000,23/07/2023
40,3772,13,17,26,39,40,44,10,150200000,21/07/2023
40,3771,6,26,30,36,49,51,50,146200000,19/07/2023
40,3770,6,24,32,42,47,54,11,143400000,16/07/2023
40,3769,5,6,22,28,41,49,32,139900000,14/07/2023
40,3768,33,37,42,44,47,54,17,136200000,12/07/2023
40,3767,7,18,31,34,36,49,43,133600000,09/07/2023
40,3766,3,9,13,36,48,50,1,129900000,07/07/2023
40,3765,1,19,24,26,28,42,30,126200000,05/07/2023
40,3764,5,6,14,32,43,56,24,123800000,02/07/2023
40,3763,8,22,27,39,52,53,49,120200000,30/06/2023
40,3762,4,20,30,35,51,54,38,116500000,28/06/2023
40,3761,10,11,13,24,34,49,6,114300000,25/06/2023
40,3760,1,2,15,27,40,45,22,110900000,23/06/2023
40,3759,12,18,19,30,33,49,43,107600000,21/06/2023
40,3758,14,15,27,37,40,44,36,105300000,18/06/2023
40,3757,1,2,8,22,25,37,39,102300000,16/06/2023
40,3756,19,29,33,35,36,42,52,98800000,14/06/2023
40,3755,6,14,21,24,35,41,33,96600000,11/06/2023
40,3754,7,13,14,28,31,43,38,93700000,09/06/2023
40,3753,6,10,13,36,39,43,42,90300000,07/06/2023
40,3752,8,18,24,33,39,40,2,87900000,04/06/2023
40,3751,8,29,36,48,53,56,40,84200000,02/06/2023
40,3750,7,24,25,40,44,54,2,81000000,31/05/2023
40,3749,3,4,33,37,40,44,6,78700000,28/05/2023
40,3748,6,44,48,49,51,53,31,75100000,26/05/2023
