15,31,39,46,52,54
3,10,27,38,40,44
1,3,5,12,13,22
14,21,32,34,36,38
1,11,14,31,48,51
4,14,15,36,54,56
11,17,30,40,41,51
2,4,11,29,44,55
20,21,22,27,31,55
2,6,34,38,40,43
9,16,17,28,42,51
3,8,10,24,36,54
7,13,14,17,31,36
5,8,21,35,52,53
12,34,35,38,43,53
11,21,23,34,40,55
4,29,32,42,46,53
6,14,21,24,37,47
10,37,42,43,53,54
12,35,40,41,47,55
19,24,34,37,44,52
3,12,21,38,42,56
22,37,43,46,50,52
7,19,22,41,43,44
3,12,29,41,46,50
8,10,11,29,36,40
9,14,20,24,37,56
1,2,10,36,37,39
5,23,38,42,43,47
7,11,17,24,54,56
1,20,24,32,33,39
14,18,30,36,46,55
9,14,17,40,41,55
1,16,23,38,47,48
6,17,19,27,45,46
3,25,33,40,50,53
14,16,32,41,43,55
19,23,32,51,53,56
2,10,30,40,48,50
11,13,15,22,33,44
9,11,17,23,39,53
6,11,18,26,31,32
19,24,32,38,50,54
1,7,12,19,20,42
19,21,25,31,35,47
11,23,24,33,35,38
17,18,27,40,43,53
5,7,17,22,23,27
10,11,14,16,25,50
14,15,33,37,47,54
